id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,1.b_genero,2.b_setor,2.c_numero_de_funcionarios,2.f_cargo_atual,2.h_faixa_salarial
1,1,AL,Mais de 10 anos,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Tecnologia/Fábrica de Software,de 1.001 a 3.000,Analytics Engineer,de R$ 12.001/mês a R$ 16.000/mês
2,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Área de Consultoria,de 51 a 100,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Tecnologia/Fábrica de Software,de 101 a 500,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
4,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Área da Saúde,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
5,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
6,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Educação,Acima de 3.000,Outra Opção,de R$ 6.001/mês a R$ 8.000/mês
7,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Finanças ou Bancos,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês
8,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Outra Opção,de 1.001 a 3.000,Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês
9,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Química / Física,Masculino,Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
10,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Educação,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês
11,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Agronegócios,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês
12,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Área da Saúde,de 501 a 1.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
13,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Indústria,Acima de 3.000,Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês
14,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Feminino,Setor Automotivo,de 11 a 50,Outra Opção,de R$ 4.001/mês a R$ 6.000/mês
15,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Masculino,Tecnologia/Fábrica de Software,de 6 a 10,Outra Opção,de R$ 2.001/mês a R$ 3.000/mês
16,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outra opção,Feminino,Varejo,de 101 a 500,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
17,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outra opção,Masculino,Telecomunicação,Acima de 3.000,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
18,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Feminino,Tecnologia/Fábrica de Software,de 101 a 500,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
19,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Indústria,de 1.001 a 3.000,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de R$ 8.001/mês a R$ 12.000/mês
20,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Química / Física,Masculino,Área de Consultoria,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 3.001/mês a R$ 4.000/mês
21,1,SP,Menos de 1 ano,de 1 a 2 anos,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Outra Opção,de 501 a 1.000,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 1.001/mês a R$ 2.000/mês
22,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Indústria,Acima de 3.000,Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês
23,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Varejo,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 1.001/mês a R$ 2.000/mês
24,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 11 a 50,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês
25,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Telecomunicação,de 51 a 100,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
26,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Marketing,de 1 a 5,Outras Engenharias (não inclui dev),de R$ 4.001/mês a R$ 6.000/mês
27,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Finanças ou Bancos,de 11 a 50,Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês
28,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outra opção,Masculino,Área de Consultoria,de 51 a 100,Outra Opção,de R$ 4.001/mês a R$ 6.000/mês
29,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Outra Opção,Acima de 3.000,Outra Opção,de R$ 2.001/mês a R$ 3.000/mês
30,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Área de Consultoria,de 6 a 10,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
31,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Outra Opção,Acima de 3.000,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
32,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Filantropia/ONG's,de 101 a 500,Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês
33,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Finanças ou Bancos,de 11 a 50,Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês
34,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Marketing,de 11 a 50,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
35,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Varejo,de 501 a 1.000,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
36,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outra opção,Masculino,Setor Automotivo,de 501 a 1.000,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
37,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Feminino,Tecnologia/Fábrica de Software,de 101 a 500,Cientista de Dados/Data Scientist,de R$ 1.001/mês a R$ 2.000/mês
38,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Finanças ou Bancos,de 11 a 50,Outra Opção,de R$ 3.001/mês a R$ 4.000/mês
39,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Química / Física,Masculino,Internet/Ecommerce,de 501 a 1.000,Analytics Engineer,de R$ 1.001/mês a R$ 2.000/mês
40,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Outra Opção,de 101 a 500,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 2.001/mês a R$ 3.000/mês
41,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Internet/Ecommerce,Acima de 3.000,Analista de Negócios/Business Analyst,de R$ 4.001/mês a R$ 6.000/mês
42,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Masculino,Área da Saúde,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 6.001/mês a R$ 8.000/mês
43,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Outra Opção,Acima de 3.000,Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês
44,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Internet/Ecommerce,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
45,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Tecnologia/Fábrica de Software,de 101 a 500,Cientista de Dados/Data Scientist,de R$ 4.001/mês a R$ 6.000/mês
46,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Finanças ou Bancos,de 101 a 500,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
47,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Outra Opção,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês
48,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Setor Farmaceutico,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
49,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Setor Imobiliário/ Construção Civil,de 101 a 500,Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês
50,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Varejo,Acima de 3.000,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
51,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outra opção,Feminino,Finanças ou Bancos,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 4.001/mês a R$ 6.000/mês
52,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outra opção,Masculino,Setor de Energia,de 1 a 5,Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês
53,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Outra Opção,de 101 a 500,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
54,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 3.001/mês a R$ 4.000/mês
55,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Outra opção,Masculino,Finanças ou Bancos,de 1.001 a 3.000,Analista de Negócios/Business Analyst,de R$ 2.001/mês a R$ 3.000/mês
56,1,SP,Menos de 1 ano,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Setor Alimentício,de 501 a 1.000,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 4.001/mês a R$ 6.000/mês
57,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Indústria,de 501 a 1.000,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
58,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Área da Saúde,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 2.001/mês a R$ 3.000/mês
59,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Área da Saúde,Acima de 3.000,Outra Opção,Menos de R$ 1.000/mês
60,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Seguros ou Previdência,de 1.001 a 3.000,Outra Opção,de R$ 4.001/mês a R$ 6.000/mês
61,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Outra Opção,de 101 a 500,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
62,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Tecnologia/Fábrica de Software,de 101 a 500,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
63,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outra opção,Masculino,Finanças ou Bancos,de 1.001 a 3.000,Cientista de Dados/Data Scientist,de R$ 1.001/mês a R$ 2.000/mês
64,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Finanças ou Bancos,de 11 a 50,Outra Opção,de R$ 3.001/mês a R$ 4.000/mês
65,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Masculino,Educação,de 101 a 500,Professor/Pesquisador,de R$ 4.001/mês a R$ 6.000/mês
66,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Masculino,Outra Opção,de 6 a 10,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
67,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 501 a 1.000,Outra Opção,de R$ 2.001/mês a R$ 3.000/mês
68,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Finanças ou Bancos,Acima de 3.000,Outra Opção,de R$ 8.001/mês a R$ 12.000/mês
69,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Internet/Ecommerce,de 11 a 50,Engenheiro de Dados/Data Engineer/Data Architect,Menos de R$ 1.000/mês
70,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,de 101 a 500,Analista de Suporte/Analista Técnico,de R$ 3.001/mês a R$ 4.000/mês
71,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Área da Saúde,de 11 a 50,Outra Opção,de R$ 2.001/mês a R$ 3.000/mês
72,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Finanças ou Bancos,Acima de 3.000,Analista de Negócios/Business Analyst,de R$ 6.001/mês a R$ 8.000/mês
73,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Finanças ou Bancos,de 1 a 5,Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês
74,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Finanças ou Bancos,de 501 a 1.000,Outra Opção,de R$ 8.001/mês a R$ 12.000/mês
75,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Outra Opção,de 1.001 a 3.000,Outra Opção,de R$ 3.001/mês a R$ 4.000/mês
76,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Outra Opção,de 101 a 500,Outra Opção,de R$ 3.001/mês a R$ 4.000/mês
77,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Área da Saúde,Acima de 3.000,Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês
78,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Área da Saúde,de 101 a 500,Analista de Suporte/Analista Técnico,de R$ 3.001/mês a R$ 4.000/mês
79,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Área da Saúde,de 11 a 50,Outra Opção,de R$ 2.001/mês a R$ 3.000/mês
80,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Masculino,Tecnologia/Fábrica de Software,de 51 a 100,Outra Opção,de R$ 6.001/mês a R$ 8.000/mês
81,1,SP,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,Acima de 3.000,Analista de Suporte/Analista Técnico,de R$ 3.001/mês a R$ 4.000/mês
82,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Área da Saúde,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês
83,1,SP,Não tenho experiência na área de dados,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,de 501 a 1.000,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 16.001/mês a R$ 20.000/mês
84,1,SP,Não tenho experiência na área de dados,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Setor Alimentício,Acima de 3.000,Outra Opção,de R$ 4.001/mês a R$ 6.000/mês
85,1,SP,Menos de 1 ano,de 1 a 2 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Área de Consultoria,de 6 a 10,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
86,1,SP,Menos de 1 ano,de 1 a 2 anos,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Masculino,Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 3.001/mês a R$ 4.000/mês
87,1,SP,Menos de 1 ano,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Setor Imobiliário/ Construção Civil,de 1 a 5,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês
88,1,SP,Menos de 1 ano,de 1 a 2 anos,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Feminino,Setor Público,Acima de 3.000,Analista de Suporte/Analista Técnico,de R$ 1.001/mês a R$ 2.000/mês
89,1,SP,Menos de 1 ano,de 1 a 2 anos,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Feminino,Setor Público,Acima de 3.000,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
90,1,SP,Menos de 1 ano,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Indústria,de 1 a 5,Analista de Negócios/Business Analyst,de R$ 1.001/mês a R$ 2.000/mês
91,1,SP,Menos de 1 ano,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Agronegócios,de 101 a 500,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês
92,1,SP,Menos de 1 ano,de 1 a 2 anos,Pós-graduação,Outra opção,Feminino,Área da Saúde,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 6.001/mês a R$ 8.000/mês
93,1,SP,Menos de 1 ano,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 101 a 500,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
94,1,SP,Menos de 1 ano,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,Acima de 3.000,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 8.001/mês a R$ 12.000/mês
95,1,SP,Menos de 1 ano,de 3 a 4 anos,Graduação/Bacharelado,Outra opção,Feminino,Varejo,Acima de 3.000,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de R$ 8.001/mês a R$ 12.000/mês
