id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,1.b_genero,2.b_setor,2.c_numero_de_funcionarios,2.f_cargo_atual,2.h_faixa_salarial
3405,1,PR,de 3 a 4 anos,Menos de 1 ano,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Masculino,Tecnologia/Fábrica de Software,de 101 a 500,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 3.001/mês a R$ 4.000/mês
3406,1,PR,de 3 a 4 anos,Menos de 1 ano,Mestrado,Química / Física,Masculino,Outra Opção,de 51 a 100,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês
3407,1,PR,de 3 a 4 anos,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Setor Automotivo,Acima de 3.000,Arquiteto de Dados/Data Architect,de R$ 6.001/mês a R$ 8.000/mês
3408,1,PR,de 3 a 4 anos,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Tecnologia/Fábrica de Software,Acima de 3.000,Analytics Engineer,de R$ 8.001/mês a R$ 12.000/mês
3409,1,PR,de 3 a 4 anos,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Outra Opção,de 101 a 500,Analista de Negócios/Business Analyst,de R$ 12.001/mês a R$ 16.000/mês
3410,1,PR,de 3 a 4 anos,Menos de 1 ano,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Finanças ou Bancos,de 1.001 a 3.000,Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês
3411,1,PR,de 3 a 4 anos,Menos de 1 ano,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Outra Opção,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês
3412,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Masculino,Tecnologia/Fábrica de Software,de 51 a 100,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
3413,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Varejo,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
3414,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Outras Engenharias (não incluir engenharia de software ou TI),Feminino,Finanças ou Bancos,de 1.001 a 3.000,Analytics Engineer,de R$ 8.001/mês a R$ 12.000/mês
