id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,2.f_cargo_atual
1072,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados/Data Engineer/Data Architect
1073,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Analista de BI/BI Analyst
1074,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Analista de Dados/Data Analyst
1075,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Outra Opção
1076,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Cientista de Dados/Data Scientist
1077,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Cientista de Dados/Data Scientist
1078,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Analista de BI/BI Analyst
1079,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
1080,1,SP,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Analytics Engineer
1081,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Analista de Dados/Data Analyst
1082,1,SP,Mais de 10 anos,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outra Opção
1083,1,SP,Menos de 1 ano,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Suporte/Analista Técnico
1084,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outra opção,Analista de BI/BI Analyst
1085,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Cientista de Dados/Data Scientist
1086,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Outra Opção
1087,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Química / Física,Analytics Engineer
1088,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Analista de Dados/Data Analyst
1089,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Analista de Negócios/Business Analyst
1090,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Outra Opção
1091,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Analista de BI/BI Analyst
1092,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI/BI Analyst
1093,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outra opção,Analista de Dados/Data Analyst
1094,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outra opção,Engenheiro de Dados/Data Engineer/Data Architect
1095,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outra opção,Outra Opção
1096,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Analista de Dados/Data Analyst
1097,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Analista de Negócios/Business Analyst
1098,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Cientista de Dados/Data Scientist
1099,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Outras Engenharias (não inclui dev)
1100,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Cientista de Dados/Data Scientist
1101,1,SP,Menos de 1 ano,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados/Data Scientist
1102,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Outra Opção
1103,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outra Opção
1104,1,SP,Menos de 1 ano,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Arquiteto de Dados/Data Architect
1105,1,SP,Menos de 1 ano,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
1106,1,SP,Menos de 1 ano,Mais de 10 anos,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
1107,1,SP,Menos de 1 ano,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI/BI Analyst
1108,1,SP,Menos de 1 ano,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analytics Engineer
1109,1,SP,Menos de 1 ano,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
1110,1,SP,Menos de 1 ano,Menos de 1 ano,Estudante de Graduação,Outra opção,Analista de Dados/Data Analyst
1111,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Analista de BI/BI Analyst
1112,1,SP,Menos de 1 ano,Menos de 1 ano,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Outras Engenharias (não inclui dev)
1113,1,SP,Menos de 1 ano,Menos de 1 ano,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Outra Opção
1114,1,SP,Menos de 1 ano,Menos de 1 ano,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Outra Opção
1115,1,SP,Menos de 1 ano,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Arquiteto de Dados/Data Architect
1116,1,SP,Menos de 1 ano,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Outra Opção
1117,1,SP,Menos de 1 ano,Menos de 1 ano,Pós-graduação,Outra opção,Outra Opção
1118,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI/BI Analyst
1119,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
